,account_value,datadate
101,996074.1030684108,20190708
102,996390.3858245203,20190709
103,997138.2228079127,20190710
104,997269.1729629497,20190711
105,996831.7322762244,20190712
106,995949.056666464,20190715
107,998427.3183262921,20190716
108,998382.7834107986,20190717
109,995247.1455795681,20190718
110,997618.311784195,20190719
111,999814.328538541,20190722
112,1001245.5360555191,20190723
113,1001346.2639224351,20190724
114,1002508.1893857018,20190725
115,1002692.9104631334,20190726
116,1003805.880599111,20190729
117,1001131.2216685441,20190730
118,1000913.5370907217,20190731
119,1002648.1896242503,20190801
120,1001515.578840807,20190802
121,996284.974409089,20190805
122,996112.6303454073,20190806
123,997031.9712365273,20190807
124,1000407.3192805436,20190808
125,999521.0969534627,20190809
126,1000121.3010493704,20190812
127,998897.3514593752,20190813
128,999120.294287312,20190814
129,1001938.9930851951,20190815
130,1001436.0828786212,20190816
131,1000879.5101761642,20190819
132,1000744.0481173475,20190820
133,1003213.5881412292,20190821
134,1004415.2053148806,20190822
135,1003450.7698322551,20190823
136,1001822.5242686195,20190826
137,998798.1913185497,20190827
138,997588.7076770209,20190828
139,997477.0609897573,20190829
140,998807.6985615398,20190830
141,997643.1100836174,20190903
142,997690.1545599794,20190904
143,996722.0699421989,20190905
144,995493.8654880859,20190906
145,995704.0112057122,20190909
146,993959.913065502,20190910
147,995639.7637248513,20190911
148,997977.1443124799,20190912
149,1000868.6154542362,20190913
150,1001958.5293809961,20190916
151,1002300.9315501882,20190917
152,1002356.307032993,20190918
153,1003209.7215883579,20190919
154,1001359.7368735506,20190920
155,1000039.7587951045,20190923
156,1000645.840483373,20190924
157,1000152.981691641,20190925
158,999874.3175124194,20190926
159,1002462.3121769683,20190927
160,1001614.996110056,20190930
161,1002614.2293688002,20191001
162,999768.7377562617,20191002
163,1000201.2522711477,20191003
164,998500.3327221677,20191004
165,995152.1978798299,20191007
166,998150.6239482464,20191008
167,997523.6463501634,20191009
168,997491.0714020137,20191010
169,999058.5886726005,20191011
170,999653.6758755479,20191014
171,1000348.1196259531,20191015
172,1001290.413822028,20191016
173,999703.0378490444,20191017
174,999021.8073708923,20191018
175,996997.0261555999,20191021
176,998100.1905842251,20191022
177,998863.8714413691,20191023
178,1001111.1744000664,20191024
179,1001397.6516016286,20191025
180,1001287.4280474209,20191028
181,999855.7365816009,20191029
182,1001638.02530149,20191030
183,1002085.1119764938,20191031
184,1006403.0398089366,20191101
185,1009805.1763653406,20191104
186,1009806.6856016946,20191105
187,1009727.1545746758,20191106
188,1009299.3838374224,20191107
189,1009281.9409170045,20191108
190,1006615.0192049495,20191111
191,1007741.9013605663,20191112
192,1006357.4339420019,20191113
193,1005717.1970731555,20191114
194,1005578.5960000437,20191115
195,1002571.3339158759,20191118
196,1003444.983243948,20191119
197,1000306.3853255308,20191120
198,996147.504755458,20191121
199,994691.861942848,20191122
200,996308.1109993032,20191125
201,996114.8610859992,20191126
202,995671.8231754756,20191127
203,992691.2661141369,20191128
204,993275.4128421011,20191129
205,988702.6340058753,20191202
206,985176.8503139653,20191203
207,988048.5419085551,20191204
208,986992.7563424634,20191205
209,987461.5344436343,20191206
210,986568.8399924791,20191209
211,986300.7163549474,20191210
212,987206.3284581585,20191211
213,989879.9726284546,20191212
214,989891.9895621028,20191213
215,990386.8054337215,20191216
216,987627.6923479848,20191217
217,987567.6331602024,20191218
218,987289.1596458841,20191219
219,989174.0427716149,20191220
220,989575.1153553325,20191223
221,989093.1325859431,20191224
222,990012.8498228266,20191225
223,989850.0086990709,20191226
224,991517.339877074,20191227
225,993090.2119681506,20191230
226,991270.4072515634,20191231
227,993479.1139253128,20200102
228,992312.5428044592,20200103
229,988565.2537606432,20200106
230,989949.4253841937,20200107
231,985456.8005995054,20200108
232,988274.6472379897,20200109
233,992080.5162801356,20200110
234,992122.5605806017,20200113
235,991905.2442401682,20200114
236,992408.6859636962,20200115
237,994000.9392351857,20200116
238,996150.7909836265,20200117
239,996390.8308660566,20200120
240,995869.3214180641,20200121
241,996616.0296410454,20200122
242,985037.9082006664,20200130
243,977603.3891385639,20200131
244,974299.7909749217,20200203
245,976761.3841864853,20200204
246,975861.1496421073,20200205
247,980380.6553107522,20200206
248,980015.5650311384,20200207
249,976176.4921918612,20200210
250,977357.6917735563,20200211
251,978423.3291381963,20200212
252,978110.531248655,20200213
253,976359.6529423731,20200214
254,974383.441686347,20200217
255,973552.2134644957,20200218
256,975470.8960111566,20200219
257,979441.2577538191,20200220
258,978584.1005206384,20200221
259,968450.0248880932,20200224
260,971660.5924563374,20200225
261,968733.8765919795,20200226
262,970527.781805138,20200227
263,965759.9825789657,20200228
264,965868.1081130834,20200302
265,967700.4813554882,20200303
266,967897.5289337283,20200304
267,968474.4283318722,20200305
268,969409.324595123,20200306
269,948855.3477000212,20200309
270,948685.3269961795,20200310
271,936835.3508373736,20200311
272,921311.3793246236,20200312
273,918352.00780336,20200313
274,909852.43250612,20200316
275,909376.9664426274,20200317
276,910584.7103725884,20200318
277,904185.9352815468,20200319
